ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7362239;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Climate""";"""concentrations"", ""Meteorological measurements"", ""Computer Modeling"", ""Physical measurements of pollutants""";"""PHYS - Physical measurements (eg radiation)""";"""1 Year or more""";"""Regional""";"""Only national""";"""South zone"", ""Antartic""";"""Natural sources """
7362238;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995â€“2012;Zhu, C., Tian, H., Hao, J. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health"", ""Ecological  (animal, plants)""";"""Computer Modeling""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""National level(not insular or antarctic)""";"""Traffic "", ""Domestic heating / wood burning"", ""Power generation"", ""Industrial and commercial emissions """
7362237;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Climate""";"""concentrations"", ""Meteorological measurements"", ""Satellite approach""";"""Aerosol"", ""PM - particulate matter"", ""PHYS - Physical measurements (eg radiation)""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Great North""";"""Natural sources """
7362236;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Climate""";"""Meteorological measurements"", ""Physical measurements of pollutants"", ""concentrations"", ""Satellite approach"", ""Computer Modeling""";"""PHYS - Physical measurements (eg radiation)"", ""Aerosol"", ""PM - particulate matter""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""Great North""";"""Natural sources """
7362235;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Central zone""";"""Industrial and commercial emissions """
7362234;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Private sector"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""SOx - Oxides of Sulphur"", ""PM - particulate matter"", ""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Traffic "", ""Domestic heating / wood burning"""
7362233;Cost estimates of transport air pollution in Santiago, Chile;Zegras, C., Litman, T. ;Manzano, Carlos;"""Yes, include the reference""";"""Private sector"", ""Academia (university, institute, others)"", ""International organization""";"""Assessment of representativeness""";"""Managment, economic, legal, social""";"""Economic""";"""concentrations""";"""SOx - Oxides of Sulphur"", ""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""COx - Oxides of Carbon""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7362232;Association of acute bronchiolitis with environmental variables;Zamorano, A., Marquez, S., Aranguiz, J. L.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362231;Urban airborne matter in central and southern Chile: Effects of meteorological conditions on fine and coarse particulate matter;YÃ¡Ã±ez, M. A., Baettig, R., Cornejo, J.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Computer Modeling"", ""Meteorological measurements""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone"", ""Central zone""";"""Industrial and commercial emissions "", ""Traffic "", ""Domestic heating / wood burning"""
7362230;Antarctic snow record of cadmium, copper, and zinc content during the twentieth century;Wolff, E. W., Suttie, E. D., Peel, D. A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Antartic""";"""Mining"""
7362229;Elemental composition of lichens from a remote Nothofagus forest site in southern Chile;Wiersma, G. B., Bruns, D. A., Finley, K.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Chemical composition""";"""HM - heavy metals"", ""Other""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7362228;Elemental composition of mosses from a remote Nothofagus forest site in southern Chile;Wiersma, G. B., Bruns, D. A., Boelcke, C.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Laboratory study""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Austral austral""";"""Natural sources """
7362227;Oxygen enrichment of room air to relieve the hypoxia of high-altitude;West, J. B. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Compliance assessment"", ""Other unclassified""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""concentrations""";"""Other""";"""Hours- 3 Weeks""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Great North""";"""Not applicable"""
7362226;ContaminaciÃ³n atmosfÃ©rica y salud en AmÃ©rica Latina;Weitzenfeld, H. ;Manzano, Carlos;"""Yes, include the reference""";"""International organization""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""COx - Oxides of Carbon"", ""PM - particulate matter"", ""SOx - Oxides of Sulphur"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Central zone""";"""Not applicable"""
7362225;Cloudwater inputs of nitrogen to forest ecosystem in southern Chile: Forms, fluxes, and sources;Weathers, K. C., Lovett, G. M., Likens, G. E.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations"", ""Chemical composition""";"""HM - heavy metals"", ""AC-Anion and cations"", ""Other""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""International comparisons""";"""South zone""";"""Natural sources """
7362224;Atmospheric trace metal studies;Volchok, H. L., Bogen, D. C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Chemical composition"", ""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""South zone"", ""Central zone"", ""Insular"", ""Great North"", ""Austral austral""";"""Not applicable"""
7362223;Wood burning pollution in southern Chile: PM2.5 source apportionment using CMB and molecular markers;Villalobos, A. M., Barraza, F., Jorquera, H.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Chemical composition""";"""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
7362222;Chemical speciation and source apportionment of fine particulate matter in Santiago, Chile, 2013;Villalobos, A. M., Barraza, F., Jorquera, H.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""Chemical composition""";"""Other"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Traffic "", ""Domestic heating / wood burning"""
7362221;Influence of air pollution exposure on adolescentsâ€™ objectively-measured physical activity and sedentary behavior;Viciana, JesÃºs, Mayorga-Vega, Daniel, Parra-SaldÃ­as, Maribel ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological""";"""PM - particulate matter""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362220;Duracon: Effect of the environment on reinforced concrete durability. Results of chile after 5 years of exposure;Verar, R., Villarroel, M., Delgado, D.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Built environment and materials (buildings, constructions, polymers, etc)""";"""concentrations""";"""COx - Oxides of Carbon"", ""SOx - Oxides of Sulphur"", ""AC-Anion and cations""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions """
7362219;ContaminaciÃ³n Bacteriana del Aerosol Dental con y sin Uso de una CÃºpula de AcrÃ­lico en un Paciente en Pandemia COVID-19;Venegas-Arques, MarÃ­a Cecilia, Rojas-GarcÃ­a, Carolina Pia, Cataldo-Saavedra, Yuri AndrÃ©s  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Public sector (gob, ministerio)""";"""Exposure assessment""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""Others not classified""";"""BIO - Biological (Pollen, virus, bacteriaâ€™s)"", ""Aerosol"", ""PM - particulate matter""";"""Month - to 3 months""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362218;Day care attendance: impact on acute lower respiratory disease in children under 2 years old;Vargas CatalÃ¡n, N. A., DÃ­az Amor, P., Zuleta Quiroz, A.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362217;Changes in epiphytic lichen diversity are associated with air particulate matter levels: The case study of urban areas in Chile;Varela, Z., LÃ³pez-SÃ¡nchez, G., YÃ¡Ã±ez, M.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Ecological  (animal, plants)""";"""concentrations""";"""Other"", ""PM - particulate matter""";"""Season - Year""";"""Regional""";"""Only national""";"""Central zone"", ""South zone""";"""Traffic "", ""Industrial and commercial emissions """
7362216;Ecological risk communication: The case of air pollution in middle of two cities southern Chile;Vallejos-Romero, A., OÃ±ate Ã‘ancucheo, M. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health"", ""Social and Cultural""";"""Others not classified""";"""Other""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
7362215;Direct and indirect effect of the dispersion of industrial emissions on environmental regulation;Vallejos, G. R., Poblete, C. M., Del Rio, J. J. ;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362214;Effect of the transportation and shipping of minerals on the quality of air in a chilean port;Vallejo, L. R., Fuenteseca, J. W., Romokroger, C. M.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362213;Effects of disturbance on the carbon dioxide balance of an anthropogenic peatland in northern Patagonia;Valdes-Barrera, A., Kutzbach, L., Celis-Diez, J. L.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Climate""";"""Computer Modeling"", ""Meteorological measurements"", ""concentrations""";"""PHYS - Physical measurements (eg radiation)"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Agriculture "", ""Natural sources """
7362212;Natural zeolite reactivity towards ozone: The role of compensating cations;ValdÃ©s, H., Alejandro, S., Zaror, C. A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Laboratory""";"""Human health""";"""concentrations""";"""O3 ozone - photochemical smog""";"""Hours- 3 Weeks""";"""Not applicable""";"""Not applicable""";"""Not applicable""";"""Others not classified"""
7362211;Elemental concentrations of ambient particles and cause specific mortality in Santiago, Chile: A time series study;ValdÃ©s, A., Zanobetti, A., Halonen, J. I.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362210;Geochemical features of aerosols in Santiago de Chile from time series analysis;ValdÃ©s, A., PolvÃ©, M., Munoz, M.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Assessment of representativeness"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Chemical composition"", ""concentrations""";"""PM - particulate matter"", ""HM - heavy metals""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Central zone""";"""Traffic "", ""Natural sources "", ""Power generation"", ""Industrial and commercial emissions """
7362209;Logistic Modeling of the Last Mile: Case Study Santiago, Chile;Urzua-Morales, J. G., Sepulveda-Rojas, J. P., Alfaro, M.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Managment, economic, legal, social""";"""Climate"", ""Economic""";"""Others not classified""";"""GHGs - greenhouse gases""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7362208;'Because in Chile [carbon] markets work!' Exploring an experimental implementation of an emissions trading scheme to deal with industrial air pollution in Santiago;Ureta, S. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""management tool"", ""Exposure assessment""";"""Managment, economic, legal, social""";"""Economic""";"""Others not classified""";"""GHGs - greenhouse gases""";"""Not applicable""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions """
7362207;Aerosol properties and meteorological conditions in the city of Buenos Aires, Argentina, during the resuspension of volcanic ash from the Puyehue-Cordon Caulle eruption;Ulke, A. G., Brizuela, M. M. T., Raga, G. B.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Computer Modeling"", ""Satellite approach"", ""Meteorological measurements"", ""concentrations""";"""Other"", ""PHYS - Physical measurements (eg radiation)"", ""PM - particulate matter""";"""Hours- 3 Weeks""";"""Regional""";"""International comparisons""";"""South zone""";"""Natural sources """
7362206;Impact of proximity of thermoelectric power plants on bronchial obstructive crisis rates;Ugarte-AvilÃ©s, T., Manterola, C., Cartes-VelÃ¡squez, R.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations"", ""Meteorological measurements"", ""Epidemiological""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Power generation"""
7362205;Concentrations of heavy metals in urban soils of Talcahuano (Chile): a preliminary study;Tume, P., Bech, J., Sepulveda, B.  et al.;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362204;The Antarctic ozone hole during 2015 and 2016;Tully, M. B., Klekociuk, A. R., Krummel, P. B.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Climate""";"""concentrations""";"""O3 STRATOs - Ozone layer""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""South zone""";"""Natural sources """
7362203;Evaluation of a simplified top-down model for the spatial assessment of hot traffic emissions in mid-sized cities;Tuia, D., de Eicker, M. O., Zah, R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Air Pollutant Receptor Modeling"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Computer Modeling""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""VOCs/SVOCs - Organic Compounds"", ""COx - Oxides of Carbon"", ""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7362202;Sources and diffusive air-water exchange of polycyclic aromatic hydrocarbons in an oligotrophic North-Patagonian lake;Tucca, F., Luarte, T., Nimptsch, J.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Private sector""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations"", ""Chemical composition""";"""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Season - Year""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""South zone""";"""Natural sources "", ""Domestic heating / wood burning"""
7362201;The composition and sources of PM2.5 organic aerosol in two urban areas of Chile;Tsapakis, M., Lagoudaki, E., Stephanou, E. G.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Exposure assessment"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Chemical composition""";"""QUI-Quinones"", ""PM - particulate matter"", ""HAPs - hidrocarburos aromÃ¡ticos policÃ­clicos """;"""Month - to 3 months""";"""Regional""";"""Only national""";"""Central zone"", ""South zone""";"""Traffic "", ""Domestic heating / wood burning"""
7362200;Effects of environmental alerts and pre-emergencies on pollutant concentrations in Santiago, Chile;Troncoso, R., De Grange, L., Cifuentes, L. A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""COx - Oxides of Carbon"", ""SOx - Oxides of Sulphur""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Industrial and commercial emissions "", ""Traffic """
7362199;Inhalable urban atmospheric particulate matter in a semi-arid climate: The case of Santiago De Chile;Trier, A., Silva, C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified"", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Chemical composition"", ""concentrations""";"""PM - particulate matter"", ""HM - heavy metals""";"""1 Year or more""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Traffic """
7362198;A study of the aerosol of Santiago de Chile-II. Mass extinction coefficients, visibilities and Ã…ngstrÃ¶m exponents;Trier, A., Horvath, H. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362197;Atmospheric extinction in Santiago, Chile;Trier, A., Horvath, H. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Assessment of representativeness"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Others not classified""";"""Physical measurements of pollutants""";"""NA - Not applicable""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362196;A time series investigation of visibility in an urban atmosphere - I;Trier, A., Firinguetti, L. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Industrial and commercial emissions "", ""Power generation"""
7362195;Submicron particles in an urban atmosphere: A study of optical size distributions .1;Trier, A. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""Physical measurements of pollutants"", ""Meteorological measurements"", ""concentrations""";"""PM - particulate matter"", ""PHYS - Physical measurements (eg radiation)""";"""1 Year or more""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Traffic """
7362194;Observations on inhalable atmospheric particulates in Santiago, Chile;Trier, A. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Chemical composition"", ""concentrations""";"""HM - heavy metals"", ""PM - particulate matter""";"""Season - Year""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Central zone""";"""Natural sources "", ""Traffic """
7362193;Analysis of exposure to fine particulate matter using passive data from public transport;Trewhela, B., Huneeus, N., Munizaga, M.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Regulatory and Legal"", ""Human health""";"""concentrations""";"""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362192;An integrated design process of low-cost housing in Chile;Trebilcock-Kelly, M., Saelzer-Fica, G., Bobadilla-Moreno, A. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7362191;An analysis of the settling velocities for sulphate particulate in Santiago (Chile);Toro, P. E. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Chemical composition"", ""concentrations"", ""Physical measurements of pollutants""";"""AC-Anion and cations"", ""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362190;Assessment of the chemical characteristics and sources of airborne particulate matter in Santiago, Chile;Toro, P., CortÃ©s, E. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""Public sector (gob, ministerio)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health""";"""Chemical composition""";"""PM - particulate matter"", ""C  - TC/EC/OC/BC - Carbon compounds"", ""HM - heavy metals""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Traffic "", ""Industrial and commercial emissions """
7362189;Accuracy and reliability of Chile's National Air Quality Information System for measuring particulate matter: Beta attenuation monitoring issue;Toro, A. R., Campos, C., Molina, C.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Monitoring network design"", ""Other unclassified""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""PM - particulate matter""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Mining"", ""Domestic heating / wood burning"", ""Power generation"", ""Industrial and commercial emissions """
7362188;Photochemical ozone pollution in the Valparaiso Region, Chile;Toro A., R., Seguel, R. A., Morales, Rges  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog"", ""VOCs/SVOCs - Organic Compounds""";"""Hours- 3 Weeks""";"""Regional""";"""Only national""";"""Central zone""";"""Traffic """
7362187;Urban atmospheric ammonia in Santiago city, Chile;Toro A., R., Flocchini, R. G., Morales, R. G. E.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Agriculture "", ""Natural sources """
7362186;Trends and threshold exceedances analysis of airborne pollen concentrations in Metropolitan Santiago Chile;Toro A., R., Canales, M., Morales, S. R. G. E.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Chilean organizations"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Biological composition"", ""concentrations""";"""BIO - Biological (Pollen, virus, bacteriaâ€™s)""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Natural sources """
