ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7361698;Trace elements in suspended particles in a city near the large scale copper mine in the North of Chile;Fuenteseca, J., Vallejo, L., Rivera, C.  et al.;Toro, Richard;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""AC-Anion and cations"", ""PM - particulate matter"", ""HM - heavy metals""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Great North""";"""Mining"""
7361697;Application of artificial neural networks to frost detection in central Chile using the next day minimum air temperature forecast;Fuentes, Marcel, Campos, CristÃ³bal, GarcÃ­a-Loyola, SebastiÃ¡n ;Toro, Richard;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361695;Chronic exposure to environmental lead in Chilean nursing infants;Frenz Y, P., Vega M, J., Marchetti P, N.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361694;Multifactorial airborne exposures and respiratory hospital admissions - The example of Santiago de Chile;Franck, U., Leitte, A. M., Suppan, P. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Human health"", ""Regulatory and Legal""";"""Meteorological measurements"", ""concentrations"", ""Epidemiological""";"""PM - particulate matter"", ""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Industrial and commercial emissions "", ""Traffic """
7361693;Multiple exposures to airborne pollutants and hospital admissions due to diseases of the circulatory system in Santiago de Chile;Franck, U., Leitte, A. M., Suppan, P. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations"", ""Meteorological measurements""";"""PM - particulate matter"", ""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""COx - Oxides of Carbon""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Domestic heating / wood burning"""
7361692;Vertical aerosol distribution in the southern hemispheric midlatitudes as observed with lidar in Punta Arenas, Chile (53.2 degrees S and 70.9 degrees W), during ALPACA;Foth, A., Kanitz, T., Engelmann, R.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Not applicable""";"""Computer Modeling""";"""Aerosol"", ""PM - particulate matter""";"""1 Year or more""";"""Global""";"""Only national""";"""Antartic""";"""Not applicable"""
7361691;Urbanism for people: Innovative public responses to urban conflicts in Santiago, Chile;Flores, P. F. ;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361690;OpenFOAM applied to the CFD simulation of turbulent buoyant atmospheric flows and pollutant dispersion inside large open pit mines under intense insolation;Flores, F., Garreaud, R., MuÃ±oz, R. C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Assessment of representativeness""";"""Ambient (eg outdoor)""";"""Built environment and materials (buildings, constructions, polymers, etc)"", ""Regulatory and Legal"", ""Climate""";"""Computer Modeling"", ""Meteorological measurements""";"""PHYS - Physical measurements (eg radiation)""";"""Not applicable""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Great North""";"""Natural sources "", ""Mining"""
7361689;Investigation of a nocturnal cold-air pool in a semiclosed basin located in the atacama desert;Flores, F., Arriagada, A., Donoso, N.  et al.;Sanchez, Luis;"""No, exclude the reference""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7361688;SintomatologÃ­a respiratoria y enfermedad pulmonar obstructiva crÃ³nica y su asociaciÃ³n a contaminaciÃ³n intradomiciliaria en el Ãrea Metropolitana de Santiago: Estudio Platino;Flores B, Carlos, SolÃS S, MarÃA Teresa, Fortt Z, Antonia  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Public sector (gob, ministerio)"", ""Academia (university, institute, others)""";"""Monitoring network design""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""Epidemiological""";"""NA - Not applicable""";"""Others not classified"", ""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Domestic heating / wood burning"", ""Others not classified"""
7361687;Quantifying personal exposure to air pollution from smartphone-based location data;Finazzi, F., Paci, L. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Technological development"", ""Ambient (eg outdoor)"", ""Indoor (eg indoor, work environments)""";"""Human health""";"""Computer Modeling"", ""concentrations""";"""Other"", ""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic "", ""Domestic heating / wood burning"", ""Industrial and commercial emissions """
