Column1;Ã¯..ActiveScreener.Id;Time.of.Screening;Title;Authors;Question;List.of.Reviewers;Answers
2;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Include this reference?;Sanchez, Luis;Yes, include the reference
3;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;DUDOSO;Sanchez, Luis;No, no tengo dudas en mis respuestas
4;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;Academia (university, institute, others)
5;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Strategies;Sanchez, Luis;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
6;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Strategies;Sanchez, Luis;Modeling air pollution
7;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Strategies;Sanchez, Luis;Exposure assessment
8;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Study characteristics;Sanchez, Luis;Ambient (eg outdoor)
9;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Potential effects or impact;Sanchez, Luis;Ecological  (animal, plants)
10;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Potential effects or impact;Sanchez, Luis;Climate
11;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;concentrations
12;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;Meteorological measurements
13;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;Computer Modeling
14;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;Physical measurements of pollutants
15;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the contaminant or variable under study?;Sanchez, Luis;PHYS -PHYsical measurements (eg radiation)
16;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;TEMPORAL: What is the temporal scale of the study?;Sanchez, Luis;1 Year or more
17;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;SPATIAL 1:What is the spatial scale of the study?;Sanchez, Luis;Regional
18;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;SPATIAL 2. National or International;Sanchez, Luis;Only national
19;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Sanchez, Luis;South zone
20;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Sanchez, Luis;Antartic
21;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Emission  source in study;Sanchez, Luis;Natural sources 
22;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Include this reference?;Manzano, Carlos;Yes, include the reference
23;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;DUDOSO;Manzano, Carlos;No, no tengo dudas en mis respuestas
24;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;Academia (university, institute, others)
25;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Strategies;Manzano, Carlos;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
26;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Study characteristics;Manzano, Carlos;Ambient (eg outdoor)
27;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Potential effects or impact;Manzano, Carlos;Human health
28;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Potential effects or impact;Manzano, Carlos;Ecological  (animal, plants)
29;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;What is the evaluation method?;Manzano, Carlos;Computer Modeling
30;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;What is the contaminant or variable under study?;Manzano, Carlos;HM - heavy metals
31;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;TEMPORAL: What is the temporal scale of the study?;Manzano, Carlos;1 Year or more
32;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;SPATIAL 1:What is the spatial scale of the study?;Manzano, Carlos;Global
33;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;SPATIAL 2. National or International;Manzano, Carlos;International comparisons
34;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Manzano, Carlos;National level(not insular or antarctic)
35;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Emission  source in study;Manzano, Carlos;Traffic 
36;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Emission  source in study;Manzano, Carlos;Domestic heating / wood burning
37;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Emission  source in study;Manzano, Carlos;Power generation
38;7362238;05/05/2021 19:03:47;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2012;Zhu, C., Tian, H., Hao, J. ;Emission  source in study;Manzano, Carlos;Industrial and commercial emissions 
39;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Include this reference?;Sanchez, Luis;Yes, include the reference
40;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;DUDOSO;Sanchez, Luis;No, no tengo dudas en mis respuestas
41;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;COMENTARIOS, si los hay.;Sanchez, Luis;No habla de calidad de aire, sino de la relaciÃƒÆ’Ã‚Â³n entre aerosoles (CNN) y cierto tipo de nubes Estudio relacionado a meteorologÃƒÆ’Ã‚Â­a
42;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;Academia (university, institute, others)
43;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;International organization
44;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Strategies;Sanchez, Luis;Other unclassified
45;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;New Question;Sanchez, Luis;Estudio de la relaciÃƒÆ’Ã‚Â³n entre la nube LWP (Liquid water path) y la concentraciÃƒÆ’Ã‚Â³n de nÃƒÆ’Ã‚Âºcleos de condensaciÃƒÆ’Ã‚Â³n de nubes (CCN)
46;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Study characteristics;Sanchez, Luis;Ambient (eg outdoor)
47;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Potential effects or impact;Sanchez, Luis;Climate
48;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;What is the evaluation method?;Sanchez, Luis;concentrations
49;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;What is the evaluation method?;Sanchez, Luis;Meteorological measurements
50;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;What is the evaluation method?;Sanchez, Luis;Satellite approach
51;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;Aerosol
52;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;PM - particulate matter
53;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;PHYS -PHYsical measurements (eg radiation)
54;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;TEMPORAL: What is the temporal scale of the study?;Sanchez, Luis;Month - to 3 months
55;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;SPATIAL 1:What is the spatial scale of the study?;Sanchez, Luis;Local (rural, suburban, urban)
56;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;SPATIAL 2. National or International;Sanchez, Luis;Only national
57;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Sanchez, Luis;Great North
58;7362237;06/23/2021 23:05:22;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Emission  source in study;Sanchez, Luis;Natural sources 
59;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Include this reference?;Sanchez, Luis;Yes, include the reference
60;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;DUDOSO;Sanchez, Luis;No, no tengo dudas en mis respuestas
61;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;Academia (university, institute, others)
62;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;International organization
63;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Strategies;Sanchez, Luis;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
64;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Study characteristics;Sanchez, Luis;Ambient (eg outdoor)
65;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Potential effects or impact;Sanchez, Luis;Climate
66;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the evaluation method?;Sanchez, Luis;Meteorological measurements
67;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the evaluation method?;Sanchez, Luis;Physical measurements of pollutants
68;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the evaluation method?;Sanchez, Luis;concentrations
69;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the evaluation method?;Sanchez, Luis;Satellite approach
70;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the evaluation method?;Sanchez, Luis;Computer Modeling
71;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;PHYS -PHYsical measurements (eg radiation)
72;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;Aerosol
73;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;What is the contaminant or variable under study?;Sanchez, Luis;PM - particulate matter
74;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;TEMPORAL: What is the temporal scale of the study?;Sanchez, Luis;Month - to 3 months
75;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;SPATIAL 1:What is the spatial scale of the study?;Sanchez, Luis;Regional
76;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;SPATIAL 2. National or International;Sanchez, Luis;Only national
77;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Sanchez, Luis;Great North
78;7362236;05/13/2021 21:37:42;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Emission  source in study;Sanchez, Luis;Natural sources 
79;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Include this reference?;Manzano, Carlos;Yes, include the reference
80;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;DUDOSO;Manzano, Carlos;No, no tengo dudas en mis respuestas
81;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;International organization
82;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;Academia (university, institute, others)
83;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Strategies;Manzano, Carlos;Exposure assessment
84;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Study characteristics;Manzano, Carlos;Ambient (eg outdoor)
85;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Potential effects or impact;Manzano, Carlos;Human health
86;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;What is the evaluation method?;Manzano, Carlos;concentrations
87;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;What is the contaminant or variable under study?;Manzano, Carlos;HM - heavy metals
88;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;TEMPORAL: What is the temporal scale of the study?;Manzano, Carlos;1 Year or more
89;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;SPATIAL 1:What is the spatial scale of the study?;Manzano, Carlos;Global
90;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;SPATIAL 2. National or International;Manzano, Carlos;International comparisons
91;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Manzano, Carlos;Central zone
92;7362235;07/12/2021 22:59:40;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Emission  source in study;Manzano, Carlos;Industrial and commercial emissions 
93;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Include this reference?;Manzano, Carlos;Yes, include the reference
94;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;DUDOSO;Manzano, Carlos;No, no tengo dudas en mis respuestas
95;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;COMENTARIOS, si los hay.;Manzano, Carlos; como se clasifica FUNDACIÃƒÆ’Ã¢â‚¬Å“N ARTURO LÃƒÆ’Ã¢â‚¬Å“PEZ PÃƒÆ’Ã¢â‚¬Â°REZ?
96;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;Private sector
97;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Characterize the organization to which the authors are affiliated?;Manzano, Carlos;Academia (university, institute, others)
98;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Strategies;Manzano, Carlos;Exposure assessment
99;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Study characteristics;Manzano, Carlos;Ambient (eg outdoor)
100;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Potential effects or impact;Manzano, Carlos;Human health
101;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;What is the evaluation method?;Manzano, Carlos;Epidemiological
102;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;What is the evaluation method?;Manzano, Carlos;concentrations
103;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;What is the contaminant or variable under study?;Manzano, Carlos;SOx - Oxides of Sulphur
104;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;What is the contaminant or variable under study?;Manzano, Carlos;PM - particulate matter
105;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;What is the contaminant or variable under study?;Manzano, Carlos;O3 ozone - photochemical smog
106;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;What is the contaminant or variable under study?;Manzano, Carlos;NOx - Oxides of Nitrogen (NyOx, NH3)
107;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;TEMPORAL: What is the temporal scale of the study?;Manzano, Carlos;1 Year or more
108;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;SPATIAL 1:What is the spatial scale of the study?;Manzano, Carlos;Regional
109;7362234;06/03/2021 18:16:54;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;SPATIAL 2. National or International;Manzano, Carlos;Only national
